"","DatabaseID","ratingType","condition","Sent","rep","Count","M","SD"
"259","Sub13","Int","moreClear","bsent","4",4,96.25,7.5
"260","Sub13","Int","moreClear","bsent","5",4,100,0
"261","Sub13","Int","moreClear","ksent","1",4,93.25,7.41057802513857
"262","Sub13","Int","moreClear","ksent","2",3,100,0
"263","Sub13","Int","moreClear","ksent","3",2,100,0
"264","Sub13","Int","moreClear","ksent","4",2,95,5.65685424949238
"265","Sub13","Int","moreClear","ksent","5",4,84.5,15.7585955380971
"266","Sub13","Int","moreClear","tsent","1",3,88.3333333333333,20.2072594216369
"267","Sub13","Int","moreClear","tsent","2",3,90.6666666666667,16.1658075373095
"268","Sub13","Int","moreClear","tsent","3",3,97.6666666666667,4.04145188432738
"269","Sub13","Int","moreClear","tsent","4",3,95.3333333333333,8.08290376865476
"270","Sub13","Int","moreClear","tsent","5",4,95,6
"271","Sub16","AP","conv","bsent","1",3,77.6666666666667,36.1155552820849
"272","Sub16","AP","conv","bsent","2",3,91.3333333333333,9.01849950564579
"273","Sub16","AP","conv","bsent","3",4,78.75,41.8359892915179
"274","Sub16","AP","conv","bsent","4",3,91.6666666666667,14.4337567297406
"275","Sub16","AP","conv","bsent","5",3,57.6666666666667,51.733290377989
"276","Sub16","AP","conv","ksent","1",3,88.3333333333333,14.5716619962629
"277","Sub16","AP","conv","ksent","2",4,62.25,44.5897970392331
"278","Sub16","AP","conv","ksent","3",4,65.5,38.7255299081454
"279","Sub16","AP","conv","ksent","4",4,72,33.7836252248531
"280","Sub16","AP","conv","ksent","5",3,80,13.8924439894498
"281","Sub16","AP","conv","tsent","1",3,68.3333333333333,28.360771028541
"282","Sub16","AP","conv","tsent","2",4,82.5,31.1287648325468
"283","Sub16","AP","conv","tsent","3",4,79.75,18.8392321145706
"284","Sub16","AP","conv","tsent","4",3,82.6666666666667,22.6789182575654
"285","Sub16","AP","conv","tsent","5",3,82.3333333333333,10.2143689640297
"286","Sub16","AP","lessClear","bsent","1",3,73.6666666666667,30.0055550412475
"287","Sub16","AP","lessClear","bsent","2",3,80,22.9128784747792
"288","Sub16","AP","lessClear","bsent","3",4,85.5,16.8226038412607
"289","Sub16","AP","lessClear","bsent","4",3,87.3333333333333,17.7857620959388
"290","Sub16","AP","lessClear","bsent","5",3,58.3333333333333,45.938364504337
"291","Sub16","AP","lessClear","ksent","1",3,87.3333333333333,12.5033328890074
"292","Sub16","AP","lessClear","ksent","2",4,53.75,41.1045415171284
"293","Sub16","AP","lessClear","ksent","3",4,72.5,27.5378527364305
"294","Sub16","AP","lessClear","ksent","4",4,57.75,45.7921026670174
"295","Sub16","AP","lessClear","ksent","5",3,81.3333333333333,9.29157324317757
"296","Sub16","AP","lessClear","tsent","1",3,17.6666666666667,8.32666399786453
"297","Sub16","AP","lessClear","tsent","2",4,78.5,35.4541958024717
"298","Sub16","AP","lessClear","tsent","3",4,58.75,30.2145108626082
"299","Sub16","AP","lessClear","tsent","4",3,71.6666666666667,13.5030860670194
"300","Sub16","AP","lessClear","tsent","5",3,47.3333333333333,38.527046776691
"301","Sub16","AP","moreClear","bsent","1",3,80.6666666666667,17.0098010962308
"302","Sub16","AP","moreClear","bsent","2",3,84.3333333333333,20.5993527406405
"303","Sub16","AP","moreClear","bsent","3",4,90.5,17.6918060129541
"304","Sub16","AP","moreClear","bsent","4",3,95.3333333333333,8.08290376865476
"305","Sub16","AP","moreClear","bsent","5",3,90.6666666666667,13.6503968196288
"306","Sub16","AP","moreClear","ksent","1",3,100,0
"307","Sub16","AP","moreClear","ksent","2",4,82.5,13.4039795085887
"308","Sub16","AP","moreClear","ksent","3",4,78.5,38.4751001731423
"309","Sub16","AP","moreClear","ksent","4",4,88.5,19.8074060223274
"310","Sub16","AP","moreClear","ksent","5",3,100,0
"311","Sub16","AP","moreClear","tsent","1",3,82,31.1769145362398
"312","Sub16","AP","moreClear","tsent","2",4,88.25,23.5
"313","Sub16","AP","moreClear","tsent","3",4,88.5,22.3383079036887
"314","Sub16","AP","moreClear","tsent","4",3,82.6666666666667,21.9393102292058
"315","Sub16","AP","moreClear","tsent","5",3,100,0
"316","Sub16","Int","conv","bsent","1",3,78.3333333333333,37.5277674973257
"317","Sub16","Int","conv","bsent","2",5,87.2,28.6216701119973
"318","Sub16","Int","conv","bsent","3",4,88.5,15.8850034099251
"319","Sub16","Int","conv","bsent","4",4,96.25,7.5
"320","Sub16","Int","conv","bsent","5",3,94.3333333333333,6.02771377334171
"321","Sub16","Int","conv","ksent","1",3,96,6.92820323027551
"322","Sub16","Int","conv","ksent","2",4,68.75,36.1051704515203
"323","Sub16","Int","conv","ksent","3",3,89.6666666666667,13.0511813003013
"324","Sub16","Int","conv","ksent","4",3,63.3333333333333,44.6131520219468
"325","Sub16","Int","conv","ksent","5",3,50.6666666666667,46.3609030685699
"326","Sub16","Int","conv","tsent","1",4,97.5,5
"327","Sub16","Int","conv","tsent","2",4,82,25.3902868567227
"328","Sub16","Int","conv","tsent","3",3,100,0
"329","Sub16","Int","conv","tsent","4",3,100,0
