"","ListenerID","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","inUS","english","age","gender","Q2_8_TEXT","race","Q3_7_TEXT","ethnicity","Q1.2","Headphones","Q2.2","Practice1_4","Practice1_5","Practice1_6","Practice2_15","Practice2_16","Practice2_17","Q5"
"166","L166","2022-01-26 17:47:32","2022-01-26 17:52:00","100","267","True","2022-01-26 17:52:00","R_Xjgl5cOxwNkLSLf","anonymous","EN","Yes","Yes, it is my second language",32,"Woman","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","86","100","100","Yes, I am ready to begin."
"167","L167","2022-01-26 17:48:07","2022-01-26 17:52:02","100","235","True","2022-01-26 17:52:03","R_2qsWBx2Sa5We9cf","anonymous","EN","Yes","Yes, it is my native language",25,"Man","","Biracial or Multiracial","","Not Hispanic/Latino","Yes, I can hear the audio.","","","98","99","84","70","62","83","Yes, I am ready to begin."
"168","L168","2022-01-26 17:48:29","2022-01-26 17:52:12","100","223","True","2022-01-26 17:52:13","R_PSV5ky7vVDU0881","anonymous","EN","Yes","Yes, it is my native language",26,"Woman","","Black/African American","","Hispanic/Latino","Yes, I can hear the audio.","","","87","100","100","83","100","100","Yes, I am ready to begin."
"169","L169","2022-01-26 17:48:36","2022-01-26 17:52:13","100","217","True","2022-01-26 17:52:14","R_3JxETdGjin45oTU","anonymous","EN","Yes","Yes, it is my native language",24,"Woman","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"170","L170","2022-01-26 17:47:55","2022-01-26 17:52:16","100","260","True","2022-01-26 17:52:16","R_ebwmfFYQTN0NVTz","anonymous","EN","Yes","Yes, it is my native language",27,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","71","100","71","Yes, I am ready to begin."
"171","L171","2022-01-26 17:48:28","2022-01-26 17:52:20","100","231","True","2022-01-26 17:52:20","R_1jUouaSZ34rWjEz","anonymous","EN","Yes","Yes, it is my native language",40,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","82","100","98","100","100","93","Yes, I am ready to begin."
"172","L172","2022-01-26 17:48:04","2022-01-26 17:52:23","100","258","True","2022-01-26 17:52:23","R_2WUn8OfDxAce7KW","anonymous","EN","Yes","Yes, it is my native language",29,"Woman","","Prefer not to say","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","93","100","100","Yes, I am ready to begin."
"173","L173","2022-01-26 17:47:49","2022-01-26 17:52:27","100","277","True","2022-01-26 17:52:27","R_2uquthzjRFUeDW4","anonymous","EN","Yes","Yes, it is my native language",36,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","88","100","100","100","100","100","Yes, I am ready to begin."
"174","L174","2022-01-26 17:47:48","2022-01-26 17:52:34","100","286","True","2022-01-26 17:52:35","R_b41uNBpCaYaMe8F","anonymous","EN","Yes","Yes, it is my native language",24,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","39","82","78","Yes, I am ready to begin."
"175","L175","2022-01-26 17:47:57","2022-01-26 17:52:37","100","280","True","2022-01-26 17:52:38","R_daOlIO70xMCmNUJ","anonymous","EN","Yes","Yes, it is my native language",25,"Man","","Prefer not to say","","Hispanic/Latino","Yes, I can hear the audio.","","","86","100","100","92","97","100","Yes, I am ready to begin."
"176","L176","2022-01-26 17:48:29","2022-01-26 17:52:39","100","249","True","2022-01-26 17:52:39","R_24zLoT0jeoSbqmZ","anonymous","EN","Yes","Yes, it is my native language",48,"Man","","White/Caucasian","","Hispanic/Latino","Yes, I can hear the audio.","","","98","98","99","86","93","94","Yes, I am ready to begin."
"177","L177","2022-01-26 17:48:38","2022-01-26 17:52:52","100","254","True","2022-01-26 17:52:52","R_sYhJBCkiqQ4yQ5X","anonymous","EN","Yes","Yes, it is my native language",38,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"178","L178","2022-01-26 17:48:02","2022-01-26 17:52:52","100","290","True","2022-01-26 17:52:52","R_bQpJucQZXTZs6gF","anonymous","EN","Yes","Yes, it is my native language",38,"Woman","","Black/African American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","83","100","100","Yes, I am ready to begin."
"179","L179","2022-01-26 17:48:05","2022-01-26 17:52:56","100","291","True","2022-01-26 17:52:56","R_1f2QSYreyWExw9U","anonymous","EN","Yes","Yes, it is my native language",35,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","98","100","67","61","18","47","Yes, I am ready to begin."
"180","L180","2022-01-26 17:47:38","2022-01-26 17:52:57","100","318","True","2022-01-26 17:52:57","R_238qlj9nJLn4ewQ","anonymous","EN","Yes","Yes, it is my native language",34,"Woman","","Biracial or Multiracial","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","74","17","Yes, I am ready to begin."
"181","L181","2022-01-26 17:49:09","2022-01-26 17:53:00","100","230","True","2022-01-26 17:53:00","R_2Y5uWVP7Jb5jmz7","anonymous","EN","Yes","Yes, it is my native language",37,"Non-Binary","","White/Caucasian","","Prefer not to say","Yes, I can hear the audio.","","","33","100","100","0","90","100","Yes, I am ready to begin."
"182","L182","2022-01-26 17:48:05","2022-01-26 17:53:05","100","299","True","2022-01-26 17:53:05","R_1eVpNnskNxo52e5","anonymous","EN","Yes","Yes, it is my native language",19,"Woman","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"183","L183","2022-01-26 17:48:15","2022-01-26 17:53:05","100","290","True","2022-01-26 17:53:05","R_1n2hcJuDmDbRgro","anonymous","EN","Yes","Yes, it is my native language",36,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","71","100","100","Yes, I am ready to begin."
"184","L184","2022-01-26 17:48:08","2022-01-26 17:53:06","100","298","True","2022-01-26 17:53:07","R_1BQ3kiXsilLn8sy","anonymous","EN","Yes","Yes, it is my native language",21,"Man","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"185","L185","2022-01-26 17:48:09","2022-01-26 17:53:15","100","306","True","2022-01-26 17:53:16","R_x6qupdqeQzuPAsN","anonymous","EN","Yes","Yes, it is my native language",44,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"186","L186","2022-01-26 17:47:39","2022-01-26 17:53:17","100","337","True","2022-01-26 17:53:17","R_2E6GSezUkftSiYP","anonymous","EN","Yes","Yes, it is my native language",66,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"187","L187","2022-01-26 17:47:58","2022-01-26 17:53:35","100","336","True","2022-01-26 17:53:35","R_31QIOpHs9hj6ZER","anonymous","EN","Yes","Yes, it is my native language",32,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","92","95","91","86","91","95","Yes, I am ready to begin."
"188","L188","2022-01-26 17:48:21","2022-01-26 17:53:43","100","322","True","2022-01-26 17:53:44","R_dd0uIuIIF73zz5T","anonymous","EN","Yes","Yes, it is my native language",66,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
